Symbol,Price,Market Cap (Cr),Score (%),Penny_stock,market_cap,stock_price,eps,eps_growth_5y,roe,roce,operating_margin,net_margin,gross_margin,de_ratio,interest_coverage,current_ratio,quick_ratio,free_cash_flow,cash_conversion_ratio,revenue,revenue_growth_5y,profit,profit_growth_5y,operating_leverage,pe_ratio,peg_ratio,pb_ratio,ev_ebitda,beta,dividend_yield,liquidity,promoter_holding,promoter_holding_growth,quarterly_revenue,quarterly_profit,quarterly_eps,quarterly_revenue_growth,quarterly_profit_growth,quarterly_eps_growth,quarterly_de_ratio,quarterly_current_ratio,quarterly_interest_coverage,market_cap (s),stock_price (s),eps_growth_5y (s),roe (s),roce (s),operating_margin (s),net_margin (s),de_ratio (s),interest_coverage (s),current_ratio (s),free_cash_flow (s),revenue_growth_5y (s),profit_growth_5y (s),cash_flow_growth (s),pe_ratio (s),peg_ratio (s),pb_ratio (s),ev_ebitda (s),liquidity (s),promoter_holding (s),promoter_holding_growth (s),Error
PURVA.NS,214.46,5085.9122688,37.142857142857146,False,50859122688.0,214.46,2.68,-0.013270567027008351,0.03232,0.02577,0.19357,0.01704,0.43759,315.044,1.113273997229672,0.99,0.15,3539000064.0,,37398300000.0,0.466192676545639,637100000.0,-0.014086383383213885,-0.03021579722699669,80.02239,,2.8481503,13.289,0.19,,141171.0,75.0,0.0,"[15019200000.0, 10693100000.0, 6442000000.0, 5244000000.0, 5415700000.0]","[1132400000.0, 599400000.0, -417900000.0, -684200000.0, -858200000.0]","[4.77, 2.53, -1.76, -2.85, -3.62]","[-0.2880379780547566, -0.39755543294273876, -0.18596709096553865, 0.032742181540808435]","[-0.47068173790180146, -1.6971971971971973, 0.6372337879875569, 0.25431160479392]","[-0.46960167714884693, -1.6956521739130435, 0.6193181818181819, 0.2701754385964912]","[3.129701214497894, 2.778394173209862, 2.5025015887688484, 2.1339289980409957]",[],"[1.786159770052606, 1.477329286798179, 0.6639577648594139, 0.4401491609695463, 0.2717055537298718]",5.0,5.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,5.0,3.0,
PVP.NS,28.66,746.3169536,21.904761904761905,False,7463169536.0,28.66,-0.25,,-0.03184,0.00638,-0.06432,-0.075780004,0.81351,63.23,0.7486262465264408,1.14,0.607,-1486137600.0,,897109000.0,-0.20069931567854404,-67984000.0,,,,,4.1524196,66.127,-0.507,,350853.0,61.3,0.0,"[414436000.0, 139640000.0, 170922000.0, 172111000.0, 190279000.0]","[-3687000.0, -35433000.0, -31750000.0, 2886000.0, -16694000.0]","[0.0, -0.14, -0.12, 0.01, -0.06]","[-0.6630601588665077, 0.22401890575766248, 0.0069563894641999635, 0.10555978409282374]","[8.610252237591538, -0.10394265232974909, -1.0908976377952755, -6.784476784476785]","[-inf, -0.14285714285714302, -1.0833333333333333, -7.0]","[1.1750130707304076, 0.8545557547658288, 0.10473410949857971, 0.06943967335054334]",[],"[0.7307418436043501, 0.7538770248900347, 0.576411605745982, 0.9395430367504836, 1.2111433546140453]",5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,3.0,
PVRINOX.NS,961.4,9440.944128,35.23809523809524,False,94409441280.0,961.4,17.95,,0.024400001,0.03235,0.07839,0.05027,0.66211,91.874,1.3096342794759825,0.473,0.365,11210250240.0,,66462000000.0,0.2115420209464327,3341000000.0,,,53.559887,,1.2809836,7.464,0.321,,225800.0,27.53,0.0,"[15473000000.0, 18798000000.0, 14691000000.0, 12299000000.0, 17173000000.0]","[1867000000.0, 957000000.0, -540000000.0, -1250000000.0, 359000000.0]","[18.99, 9.75, -5.51, -12.73, 3.66]","[0.2148904543398178, -0.21848068943504628, -0.16282077462391942, 0.39629238149443036]","[-0.48741296197107664, -1.5642633228840124, 1.3148148148148149, -1.2872]","[-0.48657187993680884, -1.5651282051282052, 1.3103448275862069, -1.2875098193244305]","[0.9187390732784908, 1.1025455576827625, 1.166977206819742]",[],"[1.1202312138728323, 1.6594803758982863, 0.6327063740856844, 0.16521739130434782, 1.2274741506646971]",5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,0.0,3.0,
PVSL.NS,90.21,642.2789632,34.285714285714285,False,6422789632.0,90.21,-1.75,,-0.0197,0.01801,0.00878,-0.00195,0.13179,223.865,0.8712350782755182,1.039,0.319,216508752.0,,63810960000.0,0.1096346181293415,-124740000.0,,,,,1.0172759,10.42,1.103,,33296.0,61.36,0.17999999999999972,"[17545130000.0, 17853640000.0, 15303800000.0, 13108990000.0, 13723620000.0]","[-49560000.0, 6720000.0, 5710000.0, -87610000.0, -137170000.0]","[-0.7, 0.09, 0.08, -1.23, -1.93]","[0.017583796757276726, -0.14281905538590445, -0.14341601432324003, 0.04688614454660511]","[-1.1355932203389831, -0.15029761904761907, -16.34325744308231, 0.565688848304988]","[-1.1285714285714286, -0.11111111111111105, -16.375, 0.5691056910569106]","[2.23865111485943, 1.7621701940063241, 1.4427394395192032, 1.518260604174284]",[],"[0.7351136906292474, 0.7613293051359517, 1.454262116253701, 0.5081437549791981, 0.2123141218777335]",5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,5.0,3.0,0.0,5.0,5.0,
PWL.NS,123.69,35371.5388416,30.476190476190478,False,353715388416.0,123.69,-0.08,-0.3450950830649656,-0.00789,-0.00598,-0.10479999,-0.00577,0.31518,23.018,1.0973598979291392,2.904,1.842,-13308515328.0,,38995400000.0,0.73942621039894,-224900000.0,-0.3488144007173306,-0.4717365922546024,,,7.881356,82.936,,,12363716.0,72.3,0.0,"[9188000000.0, 10824190000.0, 8420860000.0, 6096000000.0, 8096770000.0]","[-748900000.0, 1005160000.0, -1204450000.0, -2931000000.0, 916490000.0]","[-0.26, 0.37, -0.421182, -1.024935, 0.320486]","[0.17807901610796684, -0.22203324221027165, -0.27608344040869937, 0.3282103018372704]","[-2.3421818667378824, -2.198266942576306, 1.4334758603511975, -1.312688502217673]","[-2.423076923076923, -2.1383297297297297, 1.4334729404390498, -1.3126890973573935]","[0.2327476169091605, 0.6910813675936638, 0.6537367649817586]",[],"[-2.4589952769428938, 7.953964565785652, -6.099939289216831, -10.906103286384976, 6.698320579323096]",4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,3.0,
PYRAMID.NS,165.81,611.5058688,40.95238095238095,False,6115058688.0,165.81,7.93,-0.027960652488290716,0.10957,0.06156,0.0817,0.04232,0.26893,66.496,6.237699587221109,1.727,0.917,-1344072960.0,,6809084000.0,0.12359099104159221,288179000.0,-0.03189137768179817,-0.25803966302904496,20.909206,,2.1443536,13.807,0.174,0.29,30930.0,74.94,0.0,"[1947871000.0, 1614912000.0, 1608188000.0, 1638112000.0, 1712213000.0]","[100186000.0, 47380000.0, 61533000.0, 79080000.0, 66079000.0]","[2.8, 1.3, 1.67, 2.16, 1.9]","[-0.17093483089999284, -0.0041636943684857375, 0.018607277258628985, 0.04523561270535836]","[-0.5270796318846944, 0.2987125369354158, 0.2851640583101751, -0.16440313606474455]","[-0.5357142857142856, 0.2846153846153845, 0.2934131736526948, -0.12037037037037046]","[0.6649642861531767, 0.5366730304459819, 0.22113423190798312, 0.12596400482517242]",[],"[7.289589988185359, 3.639376380841219, 6.15147512109203, 9.384639796889877, 14.893941660433807]",5.0,5.0,0.0,3.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,3.0,0.0,0.0,3.0,0.0,3.0,3.0,0.0,5.0,3.0,
QMSMEDI.NS,100.25,181.0043776,44.761904761904766,False,1810043776.0,100.25,5.4,0.03958386272441916,0.10781,0.06811,0.10462,0.05861,0.4642,65.354,3.5092954392820075,1.556,0.811,-103834384.0,,1728765000.0,0.1844257416007069,119168000.0,0.23163673335020873,1.255989165827602,18.564814,4.689995549258871,3.3789477,16.603,0.744,0.49,24552.0,68.11,0.0,"[444238000.0, 372576000.0, 447000000.0, 464950000.0, 445823000.0]","[20196000.0, 31688000.0, 31192000.0, 29285000.0, 36071000.0]","[0.89, 1.24, 1.71, 1.621352, 1.84]","[-0.16131443055299188, 0.1997552177273898, 0.04015659955257278, -0.041137756748037435]","[0.569023569023569, -0.015652612976521096, -0.06113747114644785, 0.23172272494451085]","[0.3932584269662922, 0.379032258064516, -0.05184093567251469, 0.1348553552837386]","[0.7148318130864084, 0.6168149729857063, 0.671977269889961, 0.6056079708065889]",[],"[2.4065868855701713, 3.441168066746671, 4.573072666912578, 4.146348314606741, 4.327356484762579]",5.0,5.0,0.0,3.0,0.0,3.0,0.0,0.0,5.0,5.0,0.0,5.0,5.0,0.0,3.0,0.0,0.0,0.0,0.0,5.0,3.0,
QPOWER.NS,1207.4,9350.6002944,57.14285714285714,False,93506002944.0,1207.4,15.69,0.5836251401146746,0.27146998,0.10611,0.094110005,0.12809,0.39731997,5.195,32.804996326230714,2.485,1.684,-1096802560.0,,9472740000.0,0.5658940283264537,1213360000.0,0.805782026692677,1.4239097540499868,76.953476,1.318542857576006,17.251038,53.084,,0.08,208309.0,73.91,0.0,"[2808080000.0, 2839910000.0, 2057580000.0, 1767170000.0, 1083230000.0]","[339420000.0, 389220000.0, 243280000.0, 241440000.0, 194200000.0]","[4.38, 5.03, 3.14, 3.12, 2.67]","[0.011335147146804836, -0.27547703976534466, -0.14114153520154749, -0.38702558327721726]","[0.14672087678981782, -0.37495503828169163, -0.007563301545544188, -0.19565937707090786]","[0.14840182648401834, -0.3757455268389662, -0.006369426751592355, -0.14423076923076927]","[0.07411882996485467, 0.076953041020194, 0.020964503845573818, 0.18469342648596782]",[],"[28.80811232449298, 52.128610729023386, 21.188069216757743, 36.945616883116884, 1370.0384615384614]",5.0,3.0,5.0,5.0,3.0,0.0,3.0,0.0,5.0,5.0,0.0,5.0,5.0,0.0,0.0,3.0,0.0,0.0,5.0,5.0,3.0,
QUADFUTURE.NS,445.65,1782.5998848,31.428571428571427,False,17825998848.0,445.65,-10.72,,-0.15451,-0.10049,-0.19032,-0.28073,0.21149999,10.233,-17.399801914823374,5.959,2.51,-739193728.0,,1529670000.0,0.0011050722155778736,-429420000.0,,,,,6.3594327,-41.524,,,1969195.0,70.0,0.0,"[565570000.0, 332790000.0, 343990000.0, 287330000.0, 584700000.0]","[11410000.0, -146970000.0, -158870000.0, -134970000.0, 15800000.0]","[0.31, -3.67, -3.96, -3.37425, 0.49]","[-0.4115847728839931, 0.03365485741759078, -0.16471409052588737, 1.0349424007239065]","[-13.880806310254163, 0.08096890521875211, -0.150437464593693, -1.1170630510483812]","[-12.838709677419354, 0.07901907356948223, -0.1479166666666667, -1.1452174557309032]","[0.09314191114609059, 0.09291828793774319, 0.29846126992225785, 2.8931675201170446]",[],"[-22.181262729124235, -21.240343347639485, -25.581911262798634, -9.556264964086193, -0.8277276456111566]",5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,3.0,
QUESS.NS,247.94,3703.228416,41.904761904761905,False,37032284160.0,247.94,14.84,-0.42639862019594954,0.19714001,0.05781,0.01946,0.014479999,0.05263,10.656,5.668833807395368,1.382,1.271,1079655040.0,,153051870000.0,-0.03738181794470807,2216230000.0,-0.004167355126649563,0.11148080419238979,16.707546,,3.1703045,11.414,0.046,3.98,441551.0,56.83,-0.03999999999999915,"[38924530000.0, 39297080000.0, 36514180000.0, 36564210000.0, 40191280000.0]","[641350000.0, 549820000.0, 509090000.0, -954930000.0, 416810000.0]","[4.3, 3.69, 3.42, -6.42, 2.8]","[0.009571085379836308, -0.0708169665532401, 0.0013701526365921257, 0.09919727514966148]","[-0.14271458641927182, -0.07407878942199264, -2.8757587067119763, -1.4364822552438399]","[-0.14186046511627903, -0.07317073170731703, -2.8771929824561404, -1.4361370716510904]","[0.10671825277076703, 0.1040566861255601, 0.236574330746758]",[],"[6.106014648220759, 5.002742301966622, 6.283431114707668, -9.929502762430939, 5.571955719557195]",5.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,3.0,5.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,5.0,5.0,0.0,
