Symbol,Price,Market Cap (Cr),Score (%),market_cap,stock_price,eps,eps_growth_5y,roe,roce,operating_margin,net_margin,gross_margin,de_ratio,interest_coverage,current_ratio,quick_ratio,free_cash_flow,cash_conversion_ratio,revenue,revenue_growth_5y,profit,profit_growth_5y,operating_leverage,pe_ratio,peg_ratio,pb_ratio,ev_ebitda,beta,dividend_yield,liquidity,promoter_holding,promoter_holding_growth,quarterly_revenue,quarterly_profit,quarterly_eps,quarterly_revenue_growth,quarterly_profit_growth,quarterly_eps_growth,quarterly_de_ratio,quarterly_current_ratio,quarterly_interest_coverage,market_cap (s),stock_price (s),eps_growth_5y (s),roe (s),roce (s),operating_margin (s),net_margin (s),de_ratio (s),interest_coverage (s),current_ratio (s),free_cash_flow (s),revenue_growth_5y (s),profit_growth_5y (s),cash_flow_growth (s),pe_ratio (s),peg_ratio (s),pb_ratio (s),ev_ebitda (s),liquidity (s),promoter_holding (s),promoter_holding_growth (s)
SKYGOLD.NS,325.05,5040.8300544,42.857142857142854,50408300544,325.05,10.81,0.8204411748180855,,,0.05993,0.03918,0.07462,92.382,5.0958403960945375,,,,,35480196000.0,0.6528852998065702,1326553000.0,0.9853696840024453,1.5092538984939314,30.069378,0.3665025467141774,6.9795156,22.621,-0.614,,1837536,51.74,-2.1199999999999974,"[11312366000.0, 10581748000.0, 9979692000.0, 7688484000.0, 7230272000.0]","[435872000.0, 381748000.0, 365398000.0, 367122000.0, 212285000.0]","[2.97, 2.52, 3.458, 1.6]","[-0.06458578161279438, -0.056895703809994314, -0.2295870453717409, -0.05959718456850527]","[-0.12417406945158216, -0.04282930100485138, 0.0047181429564475685, -0.4217589793038826]","[-0.1515151515151516, 0.37222222222222223, -0.5373048004626952]","[0.9217710926238207, 1.3479888687764576, 1.3531026708083949]",[],"[5.436701133486072, 5.1115714320803685, 5.048942732000197, 5.557718875819058, 4.558022035742424]",5,5,5,0,0,0,0,0,5,0,0,5,5,0,0,5,0,0,5,5,0
BELRISE.NS,150.85,13423.8281728,37.142857142857146,134238281728,150.85,4.44,0.10723746882913598,,,0.08422,0.045089997,0.18839,109.233,2.5048159405606216,,,,,81315720000.0,0.1606398360266723,3554430000.0,0.1072375042570064,0.66756482644318,33.975227,3.1682235109571204,3.641521,13.09,,0.37,5779493,73.01,,"[22622080000.0, 22457070000.0, 17809710000.0, 14880980000.0]","[1116800000.0, 1099760000.0, 715580000.0, 133790000.0]","[1.5, 0.804132]","[-0.007294201063739458, -0.20694418283418092, -0.16444568721220054]","[-0.015257879656160434, -0.3493307630755801, -0.813032784594315]",[-0.463912],"[1.0989957107359163, 1.0286350847903043, 1.048575469624259, 1.0700751392623156]",[],"[2.7430445374476857, 3.3299638505824074, 2.157634509071089, 1.3189537585250692]",4,5,3,0,0,0,0,0,3,0,0,5,3,0,0,0,0,3,5,5,3
JWL.NS,323.5,13732.511744,47.61904761904761,137325117440,323.5,7.62,0.9214332108541612,,,0.09491,0.09118,0.26076,18.125,9.206965032511539,,,,,39336925000.0,0.5001046952026285,3822590000.0,0.9742597121211967,1.9481115083841671,42.454067,0.46073949256338853,4.970729,26.949,0.368,0.62,637032,68.11,0.0,"[4593428000.0, 10445477000.0, 10298335000.0, 10090372000.0, 8798611000.0]","[327016000.0, 1032643000.0, 973385000.0, 897354000.0, 919208000.0]","[0.77, 2.29, 2.12, 2.23]","[1.2740047302363289, -0.014086671197495293, -0.02019384686942116, -0.12801916520025225]","[2.1577751547324904, -0.057384788353767924, -0.0781098948514719, 0.024353822460255303]","[1.9740259740259738, -0.07423580786026196, 0.05188679245283012]","[0.18212358808271156, 0.17608449860383527, 0.21594509736902207]",[],"[3.757093477701732, 8.656835833088063, 9.958312884919785, 8.145016246807593, 10.474079294317002]",4,5,5,0,0,0,3,0,5,0,0,5,5,0,0,5,0,0,5,5,3
HEG.NS,511.3,9871.6975104,31.428571428571427,98716975104,511.3,10.22,-0.3562059583737066,,,0.0849,0.08927,0.59413,13.195,6.072390790709738,,,,,21443207000.0,-0.004453563843104802,1150554000.0,-0.35613428209975884,79.96613378544941,50.02935,,2.2154145,22.605,1.046,0.35,1443308,55.77,0.0,"[6169300000.0, 5268807000.0, 4783800000.0, 5676000000.0, 5714600000.0]","[1048300000.0, -736746000.0, 834000000.0, 822800000.0, 230400000.0]","[5.43, 4.32, 0.852, 1.19]","[-0.14596356150616763, -0.09205252726091506, 0.18650445252727965, 0.006800563777307866]","[-1.7028007249833061, -2.1320047886245734, -0.01342925659472427, -0.7199805542051532]","[-0.20441988950276235, -0.8027777777777778, 0.39671361502347424]","[0.1319492080447921, 0.1269991248731741, 0.14068770276478143]",[],"[16.581907090464547, -18.115163017691316, 13.640724946695096, 11.992505353319057, 3.8016528925619837]",5,4,0,0,0,0,3,0,5,0,0,0,0,0,0,0,3,0,5,5,3
JWL.NS,323.5,13732.511744,47.61904761904761,137325117440,323.5,7.62,0.9214332108541612,,,0.09491,0.09118,0.26076,18.125,9.206965032511539,,,,,39336925000.0,0.5001046952026285,3822590000.0,0.9742597121211967,1.9481115083841671,42.454067,0.46073949256338853,4.970729,26.949,0.368,0.62,637032,68.11,0.0,"[4593428000.0, 10445477000.0, 10298335000.0, 10090372000.0, 8798611000.0]","[327016000.0, 1032643000.0, 973385000.0, 897354000.0, 919208000.0]","[0.77, 2.29, 2.12, 2.23]","[1.2740047302363289, -0.014086671197495293, -0.02019384686942116, -0.12801916520025225]","[2.1577751547324904, -0.057384788353767924, -0.0781098948514719, 0.024353822460255303]","[1.9740259740259738, -0.07423580786026196, 0.05188679245283012]","[0.18212358808271156, 0.17608449860383527, 0.21594509736902207]",[],"[3.757093477701732, 8.656835833088063, 9.958312884919785, 8.145016246807593, 10.474079294317002]",4,5,5,0,0,0,3,0,5,0,0,5,5,0,0,5,0,0,5,5,3
TITAGARH.NS,890.25,11989.3311488,27.61904761904762,119893311488,890.25,17.75,,,,0.09300999,0.06593,0.2552,25.24,8.370921027225332,,,,,38677500000.0,0.3893904797518515,2763900000.0,,,50.15493,,4.8242097,29.639,0.735,0.11,949894,40.46,0.0,"[6793000000.0, 10055700000.0, 9021800000.0, 10569500000.0, 9030500000.0]","[308600000.0, 659200000.0, 627700000.0, 806900000.0, 670100000.0]","[2.3, 4.66, 5.99, 4.98]","[0.4803032533490357, -0.1028173075966865, 0.17155113170320768, -0.14560764463787312]","[1.1360985093972782, -0.04778519417475724, 0.2854866974669428, -0.16953773701821784]","[1.0260869565217394, 0.2854077253218885, -0.1686143572621035]","[0.25252317779442446, 0.2113780390424574, 0.07470484553695798]",[],"[3.5762331838565022, 163.3, 5.195260663507109, 7.345735546651403, 8.197284345047922]",4,4,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,5,3,3
